series,n_tickers,n_snapshots,two_sided_pct,med_spread_c,med_bid_sz,med_ask_sz,avg_std_mid_c,toxicity_pct,total_vol_24h,total_oi,score
KXLOLTOTALMAPS,14,698,100.0,71.0,10.0,20.0,1.96,1.1,25396,22509,79.84221731222843
KXWNBA3QTOTAL,28,176,78.1,96.0,100.0,200.0,1.5,1.6,15607,10396,75.76002303133896
KXPGAMAKECUT,312,698,97.8,8.0,500.0,2049.0,0.32,0.1,8080,8323,75.70699354583199
KXWCSOA,27,698,98.3,22.0,10.0,163.8,2.41,1.5,60674,54010,68.20799774749331
KXPGAR1TOP10,312,698,66.6,95.0,10.0,5.0,0.24,0.0,427,427,67.44350367467823
KXT,42,698,99.9,82.0,10.0,166.0,1.41,1.1,245,228,63.38742883126386
KXNASCARTOP20,38,698,100.0,8.0,33.0,33.0,1.2,0.1,5629,5629,62.00680018479981
KXNASDAQ100U,90,698,83.4,54.0,84.4,85.0,1.79,1.2,3494,3507,59.728504712984936
KXKBOTOTAL,20,104,100.0,65.0,6.0,5.0,0.1,0.0,25,24,58.68034508142219
KXMLBMENTION,19,14,97.0,9.0,5.0,8.0,0.47,0.0,277,276,55.148847715303795
KXLMBGAME,38,592,100.0,92.0,10.0,733.0,0.24,0.0,18,18,54.163768689663364
KXKBOSPREAD,20,104,100.0,68.0,5.0,6.0,0.08,0.0,16,16,52.447613421997204
KXTESTMATCH,4,698,100.0,92.0,10.0,433.0,0.3,0.0,15,15,51.50980806727719
KXCS2TOTALMAPS,19,698,100.0,88.0,12.0,225.0,1.98,0.3,469,428,51.056927563310516
KXWNBATOTAL,28,689,99.9,10.0,41.0,40.0,1.87,1.7,4659,2435,45.07181062092405
KXWCMENTION,38,698,96.2,29.0,6.0,8.0,4.11,3.0,452299,355086,43.81135061953937
KXEARNINGSMENTIONLEVI,13,623,100.0,83.0,23.0,8.0,2.78,1.7,2359,1963,42.9791337027478
KXTSAW,21,188,100.0,5.0,5.0,1.0,0.23,0.0,2265,1601,41.301171458036485
KXWCAST,41,698,80.5,35.0,10.0,200.0,3.15,1.1,36459,30965,41.2603640535951
KXWCSTART,156,643,79.3,97.0,704.0,5.0,1.7,0.0,152,142,39.79210109627186
KXNASCARTOP5,38,698,60.7,8.0,100.0,100.0,0.21,0.1,1749,1749,39.50756628408524
KXATPDOUBLES,4,698,100.0,5.0,500.0,117.0,1.01,0.0,1449,1425,39.424791847680446
KXWNBA4QTOTAL,28,176,92.9,98.0,100.0,200.0,3.39,3.1,10015,12311,37.65956244602882
KXPGATOP20,312,698,63.7,5.0,1000.0,54.0,0.39,0.0,52598,52776,36.83541901454374
KXRUGBYESLMATCH,3,698,100.0,90.0,200.0,5.0,0.38,0.0,5,5,35.96842909197556
KXR6MAP,8,698,100.0,4.0,1000.0,202.7,0.82,0.1,2590,2451,34.00023173578411
